"유형","시군구","번지","건물명","계약일","거래금액_만원","건물면적_m2","토지면적_m2","건물단가_만원_3_3m2","토지단가_만원_3_3m2","층","건축년도","거래유형","중개사소재지","매도자","매수자","원천파일"
"단독/다가구","용산구 서계동","","","20240614","123000","152.8","105","2661","3873","","1993","중개거래","서울 용산구","개인","개인","서울부동산정보광장_서계동_단독다가구_매매_202406_202505.csv"
"다세대/연립","용산구 서계동","251-3","(251-3)","20240615","49000","42.24","22","3835","7363","-1","1996","중개거래","서울 용산구, 서울 중구","개인","개인","서울부동산정보광장_서계동_다세대연립_매매_202406_202505.csv"
"다세대/연립","용산구 서계동","53-5","트리니티타운","20240618","52500","18.971","21","9148","8264","-1","2021","중개거래","서울 용산구","개인","개인","서울부동산정보광장_서계동_다세대연립_매매_202406_202505.csv"
"다세대/연립","용산구 서계동","53-5","트리니티타운","20240618","52500","18.971","21","9148","8264","-1","2021","중개거래","서울 용산구","개인","개인","서울부동산정보광장_서계동_다세대연립_매매_202406_202505.csv"
"다세대/연립","용산구 서계동","245-23","(245-23)","20240707","68000","59.97","18","3748","12489","3","2000","중개거래","서울 용산구","개인","개인","서울부동산정보광장_서계동_다세대연립_매매_202406_202505.csv"
"다세대/연립","용산구 서계동","224-5","동원주택","20240810","96000","63.95","24","4963","13223","4","2003","중개거래","서울 용산구","개인","개인","서울부동산정보광장_서계동_다세대연립_매매_202406_202505.csv"
"다세대/연립","용산구 서계동","115","럭스빌","20240814","74500","47.43","31","5193","7945","2","2007","중개거래","서울 용산구","개인","개인","서울부동산정보광장_서계동_다세대연립_매매_202406_202505.csv"
"다세대/연립","용산구 서계동","246-2","수정빌라(246-2)","20240822","50000","28.98","11","5704","15026","-1","1997","중개거래","서울 성동구, 서울 용산구","개인","개인","서울부동산정보광장_서계동_다세대연립_매매_202406_202505.csv"
"다세대/연립","용산구 서계동","257-2","(257-2)","20240902","41800","22.73","9","6079","15354","1","1998","중개거래","서울 용산구","개인","개인","서울부동산정보광장_서계동_다세대연립_매매_202406_202505.csv"
"다세대/연립","용산구 서계동","245-11","(245-11)","20241007","69000","44.48","22","5128","10368","3","1996","중개거래","서울 용산구","개인","개인","서울부동산정보광장_서계동_다세대연립_매매_202406_202505.csv"
"다세대/연립","용산구 서계동","251-3","(251-3)","20241012","72000","59.94","31","3971","7678","2","1996","중개거래","서울 용산구","개인","개인","서울부동산정보광장_서계동_다세대연립_매매_202406_202505.csv"
"다세대/연립","용산구 서계동","245-11","(245-11)","20241108","44500","19.8","9","7430","16345","-1","1996","중개거래","서울 용산구","개인","개인","서울부동산정보광장_서계동_다세대연립_매매_202406_202505.csv"
"다세대/연립","용산구 서계동","251-54","(251-54)","20241115","74000","56.02","26","4367","9409","1","2009","중개거래","서울 용산구","개인","개인","서울부동산정보광장_서계동_다세대연립_매매_202406_202505.csv"
"다세대/연립","용산구 서계동","33-56","서계라온펠리체","20241217","98000","50.04","19","6474","17051","5","2023","중개거래","서울 용산구","개인","개인","서울부동산정보광장_서계동_다세대연립_매매_202406_202505.csv"
"다세대/연립","용산구 서계동","257-4","(257-4)","20241219","51000","35.3","11","4776","15327","4","1998","중개거래","서울 성동구, 서울 용산구","개인","개인","서울부동산정보광장_서계동_다세대연립_매매_202406_202505.csv"
"다세대/연립","용산구 서계동","251-12","(251-12)","20241223","51000","25.27","10","6672","16860","3","1996","중개거래","서울 용산구, 서울 종로구","개인","개인","서울부동산정보광장_서계동_다세대연립_매매_202406_202505.csv"
"다세대/연립","용산구 서계동","252-69","(252-69)","20241226","51000","33.34","12","5057","14050","1","1998","중개거래","서울 용산구","개인","개인","서울부동산정보광장_서계동_다세대연립_매매_202406_202505.csv"
"다세대/연립","용산구 서계동","257-2","(257-2)","20241226","43000","22.73","9","6254","15794","3","1998","중개거래","서울 용산구, 서울 중구","개인","개인","서울부동산정보광장_서계동_다세대연립_매매_202406_202505.csv"
"다세대/연립","용산구 서계동","33-56","서계라온펠리체","20250103","72000","27.83","16","8553","14876","4","2023","중개거래","서울 강동구","개인","개인","서울부동산정보광장_서계동_다세대연립_매매_202406_202505.csv"
"다세대/연립","용산구 서계동","242-21","성원주택","20250122","120000","71.87","45","5520","8815","1","2004","중개거래","서울 용산구","개인","개인","서울부동산정보광장_서계동_다세대연립_매매_202406_202505.csv"
"단독/다가구","용산구 서계동","","","20250123","103100","151.55","122","2249","2794","","1982","중개거래","서울 용산구","개인","개인","서울부동산정보광장_서계동_단독다가구_매매_202406_202505.csv"
"다세대/연립","용산구 서계동","33-56","서계라온펠리체","20250216","81000","29.59","18","9049","14876","4","2023","중개거래","서울 용산구","개인","개인","서울부동산정보광장_서계동_다세대연립_매매_202406_202505.csv"
"다세대/연립","용산구 서계동","251-1","(251-1)","20250329","71500","55.14","22","4287","10744","1","1996","중개거래","서울 용산구, 서울 중구","개인","개인","서울부동산정보광장_서계동_다세대연립_매매_202406_202505.csv"
"단독/다가구","용산구 서계동","","","20250329","59750","17.48","34","11300","5809","","2008","중개거래","서울 용산구","개인","개인","서울부동산정보광장_서계동_단독다가구_매매_202406_202505.csv"
"다세대/연립","용산구 서계동","33-56","서계라온펠리체","20250401","80500","28.31","18","9400","14784","5","2023","중개거래","서울 용산구","개인","개인","서울부동산정보광장_서계동_다세대연립_매매_202406_202505.csv"
"다세대/연립","용산구 서계동","33-56","서계라온펠리체","20250424","80000","29.59","18","8938","14692","3","2023","중개거래","서울 용산구","개인","개인","서울부동산정보광장_서계동_다세대연립_매매_202406_202505.csv"
"다세대/연립","용산구 서계동","253-14","(253-14)","20250428","55000","41.75","13","4355","13986","-1","1997","중개거래","서울 강남구, 서울 용산구","개인","개인","서울부동산정보광장_서계동_다세대연립_매매_202406_202505.csv"
"다세대/연립","용산구 서계동","33-56","서계라온펠리체","20250430","72000","28.41","16","8378","14876","4","2023","중개거래","서울 용산구","개인","개인","서울부동산정보광장_서계동_다세대연립_매매_202406_202505.csv"
"다세대/연립","용산구 서계동","33-56","서계라온펠리체","20250507","82000","29.84","18","9084","15060","3","2023","중개거래","서울 마포구","개인","개인","서울부동산정보광장_서계동_다세대연립_매매_202406_202505.csv"
"다세대/연립","용산구 서계동","33-56","서계라온펠리체","20250508","72000","27.83","16","8553","14876","4","2023","중개거래","서울 강동구","개인","개인","서울부동산정보광장_서계동_다세대연립_매매_202406_202505.csv"
"다세대/연립","용산구 서계동","244-10","(244-10)","20250509","90500","64.17","26","4662","11507","3","2001","중개거래","서울 서대문구","개인","개인","서울부동산정보광장_서계동_다세대연립_매매_202406_202505.csv"
"단독/다가구","용산구 서계동","","","20250521","70000","18.74","52","12348","4450","","1929","중개거래","서울 용산구","개인","개인","서울부동산정보광장_서계동_단독다가구_매매_202406_202505.csv"
"다세대/연립","용산구 서계동","229-12","(229-12)","20250522","82000","35.05","37","7734","7326","2","2007","중개거래","서울 용산구","개인","개인","서울부동산정보광장_서계동_다세대연립_매매_202406_202505.csv"
"다세대/연립","용산구 서계동","91","(91-0)","20250527","95000","58.59","43","5360","7304","1","1988","중개거래","서울 용산구","개인","개인","서울부동산정보광장_서계동_다세대연립_매매_202406_202505.csv"
"다세대/연립","용산구 서계동","252-73","(252-73)","20250625","66000","47.98","17","4547","12834","2","1996","중개거래","서울 용산구","개인","개인","서울부동산정보광장_서계동_다세대연립_매매_202506_202605.csv"
"다세대/연립","용산구 서계동","251-10","(251-10)","20250626","55000","24.33","11","7473","16529","2","1996","중개거래","서울 용산구","개인","개인","서울부동산정보광장_서계동_다세대연립_매매_202506_202605.csv"
"다세대/연립","용산구 서계동","251-17","광성빌라","20250626","80000","54.69","26","4836","10172","1","1996","중개거래","서울 용산구","개인","개인","서울부동산정보광장_서계동_다세대연립_매매_202506_202605.csv"
"단독/다가구","용산구 서계동","","","20250627","79000","25.72","60","10154","4353","","1946","중개거래","서울 용산구","개인","개인","서울부동산정보광장_서계동_단독다가구_매매_202506_202605.csv"
"단독/다가구","용산구 서계동","","","20250703","75000","85.44","49","2902","5060","","1994","중개거래","서울 마포구, 서울 용산구","개인","개인","서울부동산정보광장_서계동_단독다가구_매매_202506_202605.csv"
