"유형","시군구","번지","건물명","계약일","거래금액_만원","건물면적_m2","토지면적_m2","토허조서_대조상태","메모"
"단독/다가구","용산구 서계동","","","20240614","123000","152.8","105","지번없음","단독/다가구 원천자료는 상세 지번 미공개라 개별 매물 주소 확보 후 대조"
"다세대/연립","용산구 서계동","251-3","(251-3)","20240615","49000","42.24","22","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","53-5","트리니티타운","20240618","52500","18.971","21","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","53-5","트리니티타운","20240618","52500","18.971","21","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","245-23","(245-23)","20240707","68000","59.97","18","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","224-5","동원주택","20240810","96000","63.95","24","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"다세대/연립","용산구 서계동","115","럭스빌","20240814","74500","47.43","31","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"다세대/연립","용산구 서계동","246-2","수정빌라(246-2)","20240822","50000","28.98","11","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","257-2","(257-2)","20240902","41800","22.73","9","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","245-11","(245-11)","20241007","69000","44.48","22","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","251-3","(251-3)","20241012","72000","59.94","31","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","245-11","(245-11)","20241108","44500","19.8","9","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","251-54","(251-54)","20241115","74000","56.02","26","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","33-56","서계라온펠리체","20241217","98000","50.04","19","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"다세대/연립","용산구 서계동","257-4","(257-4)","20241219","51000","35.3","11","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","251-12","(251-12)","20241223","51000","25.27","10","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","252-69","(252-69)","20241226","51000","33.34","12","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","257-2","(257-2)","20241226","43000","22.73","9","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","33-56","서계라온펠리체","20250103","72000","27.83","16","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"다세대/연립","용산구 서계동","242-21","성원주택","20250122","120000","71.87","45","조서포함","토지거래허가구역 조서 지번과 일치"
"단독/다가구","용산구 서계동","","","20250123","103100","151.55","122","지번없음","단독/다가구 원천자료는 상세 지번 미공개라 개별 매물 주소 확보 후 대조"
"다세대/연립","용산구 서계동","33-56","서계라온펠리체","20250216","81000","29.59","18","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"다세대/연립","용산구 서계동","251-1","(251-1)","20250329","71500","55.14","22","조서포함","토지거래허가구역 조서 지번과 일치"
"단독/다가구","용산구 서계동","","","20250329","59750","17.48","34","지번없음","단독/다가구 원천자료는 상세 지번 미공개라 개별 매물 주소 확보 후 대조"
"다세대/연립","용산구 서계동","33-56","서계라온펠리체","20250401","80500","28.31","18","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"다세대/연립","용산구 서계동","33-56","서계라온펠리체","20250424","80000","29.59","18","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"다세대/연립","용산구 서계동","253-14","(253-14)","20250428","55000","41.75","13","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","33-56","서계라온펠리체","20250430","72000","28.41","16","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"다세대/연립","용산구 서계동","33-56","서계라온펠리체","20250507","82000","29.84","18","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"다세대/연립","용산구 서계동","33-56","서계라온펠리체","20250508","72000","27.83","16","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"다세대/연립","용산구 서계동","244-10","(244-10)","20250509","90500","64.17","26","조서포함","토지거래허가구역 조서 지번과 일치"
"단독/다가구","용산구 서계동","","","20250521","70000","18.74","52","지번없음","단독/다가구 원천자료는 상세 지번 미공개라 개별 매물 주소 확보 후 대조"
"다세대/연립","용산구 서계동","229-12","(229-12)","20250522","82000","35.05","37","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"다세대/연립","용산구 서계동","91","(91-0)","20250527","95000","58.59","43","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","252-73","(252-73)","20250625","66000","47.98","17","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","251-10","(251-10)","20250626","55000","24.33","11","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","251-17","광성빌라","20250626","80000","54.69","26","조서포함","토지거래허가구역 조서 지번과 일치"
"단독/다가구","용산구 서계동","","","20250627","79000","25.72","60","지번없음","단독/다가구 원천자료는 상세 지번 미공개라 개별 매물 주소 확보 후 대조"
"단독/다가구","용산구 서계동","","","20250703","75000","85.44","49","지번없음","단독/다가구 원천자료는 상세 지번 미공개라 개별 매물 주소 확보 후 대조"
"단독/다가구","용산구 서계동","","","20250703","115000","9.92","66","지번없음","단독/다가구 원천자료는 상세 지번 미공개라 개별 매물 주소 확보 후 대조"
"다세대/연립","용산구 서계동","241-8","(241-8)","20250715","73000","20.3","16","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","33-56","서계라온펠리체","20250715","88000","29.64","18","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"다세대/연립","용산구 서계동","240-16","(240-16)","20250716","80500","45.81","19","조서포함","토지거래허가구역 조서 지번과 일치"
"단독/다가구","용산구 서계동","","","20250719","67000","62.85","15","지번없음","단독/다가구 원천자료는 상세 지번 미공개라 개별 매물 주소 확보 후 대조"
"다세대/연립","용산구 서계동","33-6","(33-6)","20250721","85000","41.1","44","조서포함","토지거래허가구역 조서 지번과 일치"
"다세대/연립","용산구 서계동","257-1","(257-1)","20250724","67000","49.01","14","조서포함","토지거래허가구역 조서 지번과 일치"
"단독/다가구","용산구 서계동","","","20250724","96000","103.84","59","지번없음","단독/다가구 원천자료는 상세 지번 미공개라 개별 매물 주소 확보 후 대조"
"아파트","용산구 서계동","100-1","어반허브서울스테이션(UrbanHubSeoulStation)","20250804","45000","21.201","","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"아파트","용산구 서계동","100-1","어반허브서울스테이션(UrbanHubSeoulStation)","20250804","45000","21.201","","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"아파트","용산구 서계동","100-1","어반허브서울스테이션(UrbanHubSeoulStation)","20250804","45000","21.201","","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"아파트","용산구 서계동","100-1","어반허브서울스테이션(UrbanHubSeoulStation)","20250804","38550","22.026","","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"아파트","용산구 서계동","100-1","어반허브서울스테이션(UrbanHubSeoulStation)","20250804","42950","21.201","","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"아파트","용산구 서계동","100-1","어반허브서울스테이션(UrbanHubSeoulStation)","20250804","45000","21.201","","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"아파트","용산구 서계동","100-1","어반허브서울스테이션(UrbanHubSeoulStation)","20250804","45000","21.201","","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"아파트","용산구 서계동","100-1","어반허브서울스테이션(UrbanHubSeoulStation)","20250804","43650","21.201","","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"아파트","용산구 서계동","100-1","어반허브서울스테이션(UrbanHubSeoulStation)","20250804","37850","22.026","","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"아파트","용산구 서계동","100-1","어반허브서울스테이션(UrbanHubSeoulStation)","20250804","39200","22.026","","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"아파트","용산구 서계동","100-1","어반허브서울스테이션(UrbanHubSeoulStation)","20250804","45000","21.201","","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"아파트","용산구 서계동","100-1","어반허브서울스테이션(UrbanHubSeoulStation)","20250804","45000","21.201","","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"아파트","용산구 서계동","100-1","어반허브서울스테이션(UrbanHubSeoulStation)","20250804","45000","21.201","","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"아파트","용산구 서계동","100-1","어반허브서울스테이션(UrbanHubSeoulStation)","20250804","45000","21.201","","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"아파트","용산구 서계동","100-1","어반허브서울스테이션(UrbanHubSeoulStation)","20250804","43200","21.201","","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"아파트","용산구 서계동","100-1","어반허브서울스테이션(UrbanHubSeoulStation)","20250804","44100","21.201","","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"아파트","용산구 서계동","100-1","어반허브서울스테이션(UrbanHubSeoulStation)","20250804","43600","21.201","","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"아파트","용산구 서계동","100-1","어반허브서울스테이션(UrbanHubSeoulStation)","20250804","42250","21.201","","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"아파트","용산구 서계동","100-1","어반허브서울스테이션(UrbanHubSeoulStation)","20250804","44100","21.201","","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"아파트","용산구 서계동","100-1","어반허브서울스테이션(UrbanHubSeoulStation)","20250804","44300","21.201","","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"아파트","용산구 서계동","100-1","어반허브서울스테이션(UrbanHubSeoulStation)","20250804","44300","21.201","","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"아파트","용산구 서계동","100-1","어반허브서울스테이션(UrbanHubSeoulStation)","20250804","43600","21.201","","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"아파트","용산구 서계동","100-1","어반허브서울스테이션(UrbanHubSeoulStation)","20250804","43450","21.201","","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"아파트","용산구 서계동","100-1","어반허브서울스테이션(UrbanHubSeoulStation)","20250804","42750","21.201","","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"아파트","용산구 서계동","100-1","어반허브서울스테이션(UrbanHubSeoulStation)","20250804","45000","21.201","","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"아파트","용산구 서계동","100-1","어반허브서울스테이션(UrbanHubSeoulStation)","20250804","45000","21.201","","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"아파트","용산구 서계동","100-1","어반허브서울스테이션(UrbanHubSeoulStation)","20250804","44550","21.201","","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"아파트","용산구 서계동","100-1","어반허브서울스테이션(UrbanHubSeoulStation)","20250804","45000","21.201","","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"아파트","용산구 서계동","100-1","어반허브서울스테이션(UrbanHubSeoulStation)","20250804","42950","21.201","","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"아파트","용산구 서계동","100-1","어반허브서울스테이션(UrbanHubSeoulStation)","20250804","43650","21.201","","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
"아파트","용산구 서계동","100-1","어반허브서울스테이션(UrbanHubSeoulStation)","20250804","44400","26.103","","조서미포함","토허 조서 미일치. 지번 표기/구역 외 여부 재확인"
