시군구,번지,본번,부번,건물명,계약일,거래일,거래금액(만원),전용면적(㎡),대지권면적(㎡),층,계약해제일,건축년도,거래유형,중개사 소재지,매도자,매수자
용산구 서계동,229-12,0229,0012,(229-12),20250522,,"82,000",35.05,37,2,,2007,중개거래,서울 용산구,개인,개인
용산구 서계동,244-10,0244,0010,(244-10),20250509,,"90,500",64.17,26,3,,2001,중개거래,서울 서대문구,개인,개인
용산구 서계동,245-11,0245,0011,(245-11),20241108,,"44,500",19.8,9,-1,,1996,중개거래,서울 용산구,개인,개인
용산구 서계동,245-11,0245,0011,(245-11),20241007,,"69,000",44.48,22,3,,1996,중개거래,서울 용산구,개인,개인
용산구 서계동,245-23,0245,0023,(245-23),20240707,,"68,000",59.97,18,3,,2000,중개거래,서울 용산구,개인,개인
용산구 서계동,251-1,0251,0001,(251-1),20250329,,"71,500",55.14,22,1,,1996,중개거래,"서울 용산구, 서울 중구",개인,개인
용산구 서계동,251-12,0251,0012,(251-12),20241223,,"51,000",25.27,10,3,,1996,중개거래,"서울 용산구, 서울 종로구",개인,개인
용산구 서계동,251-3,0251,0003,(251-3),20240615,,"49,000",42.24,22,-1,,1996,중개거래,"서울 용산구, 서울 중구",개인,개인
용산구 서계동,251-3,0251,0003,(251-3),20241012,,"72,000",59.94,31,2,,1996,중개거래,서울 용산구,개인,개인
용산구 서계동,251-54,0251,0054,(251-54),20241115,,"74,000",56.02,26,1,,2009,중개거래,서울 용산구,개인,개인
용산구 서계동,252-69,0252,0069,(252-69),20241226,,"51,000",33.34,12,1,,1998,중개거래,서울 용산구,개인,개인
용산구 서계동,253-14,0253,0014,(253-14),20250428,,"55,000",41.75,13,-1,,1997,중개거래,"서울 강남구, 서울 용산구",개인,개인
용산구 서계동,257-2,0257,0002,(257-2),20240902,,"41,800",22.73,9,1,,1998,중개거래,서울 용산구,개인,개인
용산구 서계동,257-2,0257,0002,(257-2),20241226,,"43,000",22.73,9,3,,1998,중개거래,"서울 용산구, 서울 중구",개인,개인
용산구 서계동,257-4,0257,0004,(257-4),20241219,,"51,000",35.3,11,4,,1998,중개거래,"서울 성동구, 서울 용산구",개인,개인
용산구 서계동,91,0091,0000,(91-0),20250527,,"95,000",58.59,43,1,,1988,중개거래,서울 용산구,개인,개인
용산구 서계동,224-5,0224,0005,동원주택,20240810,,"96,000",63.95,24,4,,2003,중개거래,서울 용산구,개인,개인
용산구 서계동,115,0115,0000,럭스빌,20240814,,"74,500",47.43,31,2,,2007,중개거래,서울 용산구,개인,개인
용산구 서계동,33-56,0033,0056,서계라온펠리체,20250103,,"72,000",27.83,16,4,20250204,2023,중개거래,서울 강동구,개인,개인
용산구 서계동,33-56,0033,0056,서계라온펠리체,20250508,,"72,000",27.83,16,4,,2023,중개거래,서울 강동구,개인,개인
용산구 서계동,33-56,0033,0056,서계라온펠리체,20250401,,"80,500",28.31,18,5,,2023,중개거래,서울 용산구,개인,개인
용산구 서계동,33-56,0033,0056,서계라온펠리체,20250430,,"72,000",28.41,16,4,,2023,중개거래,서울 용산구,개인,개인
용산구 서계동,33-56,0033,0056,서계라온펠리체,20250216,,"81,000",29.59,18,4,,2023,중개거래,서울 용산구,개인,개인
용산구 서계동,33-56,0033,0056,서계라온펠리체,20250424,,"80,000",29.59,18,3,,2023,중개거래,서울 용산구,개인,개인
용산구 서계동,33-56,0033,0056,서계라온펠리체,20250507,,"82,000",29.84,18,3,,2023,중개거래,서울 마포구,개인,개인
용산구 서계동,33-56,0033,0056,서계라온펠리체,20241217,,"98,000",50.04,19,5,,2023,중개거래,서울 용산구,개인,개인
용산구 서계동,242-21,0242,0021,성원주택,20250122,,"120,000",71.87,45,1,,2004,중개거래,서울 용산구,개인,개인
용산구 서계동,246-2,0246,0002,수정빌라(246-2),20240822,,"50,000",28.98,11,-1,,1997,중개거래,"서울 성동구, 서울 용산구",개인,개인
용산구 서계동,53-5,0053,0005,트리니티타운,20240618,,"52,500",18.971,21,-1,,2021,중개거래,서울 용산구,개인,개인
용산구 서계동,53-5,0053,0005,트리니티타운,20240618,,"52,500",18.971,21,-1,20240913,2021,중개거래,서울 용산구,개인,개인
