시군구,주택유형,계약일,거래일,연면적(㎡),대지면적(㎡),거래금액(만원),계약해제일,건축년도,거래유형,중개사 소재지,매도자,매수자
용산구 서계동,단독,20250703,,9.92,66,"115,000",,1937,중개거래,서울 성동구,법인,개인
용산구 서계동,단독,20260501,,14.26,35,"70,000",,2007,중개거래,"서울 마포구, 서울 용산구",개인,개인
용산구 서계동,단독,20260407,,16.53,39,"78,500",,1941,중개거래,서울 용산구,개인,개인
용산구 서계동,단독,20260213,,19.83,39,"115,000",,1937,중개거래,서울 용산구,개인,개인
용산구 서계동,단독,20260307,,23.14,52,"92,000",,1936,중개거래,서울 용산구,개인,개인
용산구 서계동,단독,20250627,,25.72,60,"79,000",,1946,중개거래,서울 용산구,개인,개인
용산구 서계동,단독,20251101,,26.45,53,"80,000",,1936,중개거래,"서울 마포구, 서울 용산구",개인,개인
용산구 서계동,단독,20260531,,26.45,49,"50,000",,1931,직거래,,개인,개인
용산구 서계동,단독,20260317,,36.36,82,"84,600",,1954,중개거래,인천 부평구,개인,개인
용산구 서계동,단독,20250809,,49.58,49,"73,500",,1960,중개거래,"서울 마포구, 서울 용산구",개인,개인
용산구 서계동,단독,20250719,,62.85,15,"67,000",,1968,중개거래,서울 마포구,개인,법인
용산구 서계동,단독,20260212,,63.34,59,"99,700",,1937,중개거래,서울 용산구,개인,개인
용산구 서계동,단독,20251024,,71.08,62,"110,000",,1982,중개거래,서울 용산구,개인,개인
용산구 서계동,단독,20250703,,85.44,49,"75,000",,1994,중개거래,"서울 마포구, 서울 용산구",개인,개인
용산구 서계동,단독,20250724,,103.84,59,"96,000",,1993,중개거래,"서울 마포구, 서울 용산구",개인,개인
용산구 서계동,단독,20260204,,109.08,69,"126,000",,1992,중개거래,서울 용산구,개인,개인
용산구 서계동,단독,20251115,,142.42,76,"129,000",,1994,중개거래,서울 용산구,개인,개인
용산구 서계동,단독,20250908,,149.64,97,"163,000",,1993,중개거래,"서울 용산구, 서울 중구",개인,개인
용산구 서계동,단독,20260422,,495.2,218,"320,000",,1996,중개거래,"경기 안성시, 서울 용산구",개인,개인
