시군구,번지,본번,부번,건물명,계약일,거래금액(만원),건물전용면적(㎡),층,동,계약해제일,건축년도,거래유형,중개사 소재지,등기일자,매도자,매수자
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"43,400",21.201,2,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"45,000",21.201,9,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"43,450",21.201,2,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"42,950",21.201,2,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"43,650",21.201,3,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"43,200",21.201,3,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"44,300",21.201,4,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"44,100",21.201,4,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"43,600",21.201,4,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"44,300",21.201,5,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"44,100",21.201,5,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"42,250",21.201,1,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"43,600",21.201,5,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"45,000",21.201,6,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"44,550",21.201,6,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"42,750",21.201,1,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"45,000",21.201,7,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"45,000",21.201,7,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"45,000",21.201,7,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"45,000",21.201,7,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"42,950",21.201,1,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"45,000",21.201,8,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"45,000",21.201,8,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"45,000",21.201,8,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"45,000",21.201,8,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"45,000",21.201,9,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"45,000",21.201,9,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"43,650",21.201,2,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"37,850",22.026,1,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"39,200",22.026,2,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"38,550",22.026,3,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"39,000",22.026,3,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"39,200",22.026,3,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"38,300",22.026,1,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"39,450",22.026,3,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"39,200",22.026,4,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"39,650",22.026,4,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"39,850",22.026,4,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"39,000",22.026,1,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"39,200",22.026,5,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"39,450",22.026,5,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"39,650",22.026,5,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"39,850",22.026,5,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"39,850",22.026,6,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"40,300",22.026,6,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"40,750",22.026,6,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"40,100",22.026,7,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"40,500",22.026,7,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"40,750",22.026,7,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"40,350",22.026,8,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"40,750",22.026,8,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"41,450",22.026,8,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"41,450",22.026,9,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"41,450",22.026,10,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"38,750",22.026,2,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"38,950",22.026,2,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"44,400",26.103,2,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"44,650",26.103,2,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"44,400",26.103,3,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"44,950",26.103,3,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"44,950",26.103,4,,,2025,직거래,,20250812,법인,공공기관
용산구 서계동,100-1,0100,0001,어반허브서울스테이션(UrbanHubSeoulStation),20250804,"45,000",26.103,5,,,2025,직거래,,20250812,법인,공공기관
