연번,토지소재지,지번,지목,대장면적(㎡),편입면적(㎡),용도지역,비고
1,서울특별시 용산구 서계동,246-11,대,72.7,72.7,,
2,서울특별시 용산구 서계동,252-49,대,50.1,50.1,,
3,서울특별시 용산구 서계동,264-17,대,29.1,29.1,,
4,서울특별시 용산구 서계동,251-97,도,631.08,631.08,,
5,서울특별시 용산구 서계동,33-218,대,102.5,102.5,,
6,서울특별시 용산구 서계동,257-22,도,0.7,0.7,,
7,서울특별시 용산구 서계동,95-13,대,60.8,60.8,,
8,서울특별시 용산구 서계동,33-319,대,2.8,2.8,,
9,서울특별시 용산구 서계동,257-21,도,45.9,45.9,,
10,서울특별시 용산구 서계동,55-2,대,42,42,,
11,서울특별시 용산구 서계동,257-23,구,21.3,21.3,,
12,서울특별시 용산구 서계동,258-5,대,8.1,8.1,,
13,서울특별시 용산구 서계동,245-20,대,39.5,39.5,,
14,서울특별시 용산구 서계동,270-2,대,4.5,4.5,,
15,서울특별시 용산구 서계동,276-4,구,8.4,8.4,,
16,서울특별시 용산구 서계동,245-43,도,1.1,1.1,,
17,서울특별시 용산구 서계동,33-22,대,188.1,188.1,,
18,서울특별시 용산구 서계동,95-14,대,44.3,44.3,,
19,서울특별시 용산구 서계동,245-64,도,2.2,2.2,,
20,서울특별시 용산구 서계동,245-62,도,5.5,5.5,,
21,서울특별시 용산구 서계동,258-16,도,39.4,39.4,,
22,서울특별시 용산구 서계동,246-24,대,169.2,169.2,,
23,서울특별시 용산구 서계동,95-24,대,6,6,,
24,서울특별시 용산구 서계동,245-19,대,40.7,40.7,,
25,서울특별시 용산구 서계동,251-29,대,61.8,61.8,,
26,서울특별시 용산구 서계동,252-84,대,29.3,29.3,,
27,서울특별시 용산구 서계동,252-27,대,71.7,71.7,,
28,서울특별시 용산구 서계동,33-328,대,9.9,9.9,,
29,서울특별시 용산구 서계동,33-71,대,26.5,26.5,,
30,서울특별시 용산구 서계동,255-19,대,69.4,69.4,,
31,서울특별시 용산구 서계동,256-5,대,19.3,19.3,,
32,서울특별시 용산구 서계동,251-30,대,66.4,66.4,,
33,서울특별시 용산구 서계동,252-5,대,55.2,55.2,,
34,서울특별시 용산구 서계동,255-12,대,49.6,49.6,,
35,서울특별시 용산구 서계동,255-9,대,84.96,84.96,,
36,서울특별시 용산구 서계동,33-70,대,29.8,29.8,,
37,서울특별시 용산구 서계동,33-7,대,270.9,270.9,,
38,서울특별시 용산구 서계동,252-112,도,13.3,13.3,,
39,서울특별시 용산구 서계동,252-26,대,78.3,78.3,,
